proposition,dominant_topic,topic_name,clean
"Il faut valoriser les produits bruts/sans additifs, et expliquer à tous qu'on peut bien manger, même si on ne cuisine qu'un petit peu",4,Habitude de consommation alimentaire,valoriser brutssan additif expliquer manger cuisine petit
"Il faut que le médical interdise la mal bouffe, tout simplement",2,Produits transformés,médical interdire mal bouffe simplement
"Il faut favoriser les produits locaux, bio, de saison et produits en plein air",7,Circuit court,favoriser local bio saison produire air
Il faut supprimer la TVA sur les produits alimentaires non transformé et augmenter de 5 points la TVA sur les produits non-alimentaires,9,Rémunération des agriculteurs,supprimer tva alimentaire transformer augmenter point tva nonalimentaire
Il faut que les produits de bonne qualité ne soient pas plus chers que les autres ,7,Circuit court,qualité
Il faut acheter des produits naturels chez les producteurs locaux et pas de supermarchés,7,Circuit court,acheter naturel producteur local supermarché
Il faut manger moins de viande,4,Habitude de consommation alimentaire,manger viande
Il faut améliorer les transports en commun afin d'avoir plus de temps pour cuisiner le soir ,9,Rémunération des agriculteurs,améliorer transport commun temps cuisiner soir
"Il faut arrêter de faire croire que le bio est parfait !  Les effets néfastes (différents) existent ! (transport, métaux dans les sols...)",1,Agriculture biologique,arrêter croire bio parfaire néfaste existent transport métal sol
"Il faut expliquer que les protéines végétales sont pas chères, même en bio, et bonnes pour l'organisme",8,Alimentation des enfants,expliquer protéine végétal bio organisme
"Il faut que les agriculteurs collaborent mieux avec la grande distribution, ou commercialisent eux-mêmes leurs produits",7,Circuit court,agriculteur collaborer mieux grand distribution commercialisent euxmêmes
"Il faut interdire le sur-emballage, surtout en plastique",6,Emballage alimentaire,interdire suremballage plastique
"Il faut penser aussi au thé et au café sains, équitables, mais produits loin et parfois au péril de la faune locale",9,Rémunération des agriculteurs,penser thé café sain équitable loin parfois péril faune local
"Il faut transférer les subventions de l'agro-industrie vers une agriculture respectueuse des écosystèmes et des humains (bio, permaculture)",1,Agriculture biologique,transférer subvention agroindustrie agriculture respectueuse écosystème humain bio permaculture
Il faut arrêter de subventionner l'importation et payer à leur juste valeur les produits locaux ,1,Agriculture biologique,arrêter subventionner importation payer local
Il faut encourager (par des aides) les entreprises qui investissent dans des cantines bio,3,Cultiver soi-même,encourager aide entreprise investir cantine bio
"Il faut respecter l'environnement et supprimer les pesticides, mangeons bio",1,Agriculture biologique,respecter environnement supprimer pesticide mangeon bio
Il faut indiquer la provenance de l'ingrédient principal / majoritaire sur les aliments,2,Produits transformés,indiquer provenance ingrédient principal majoritaire aliment
"Il faut acheter des produits de nos régions, et faire travailler nos producteurs ",7,Circuit court,acheter région travailler producteur
Il faut si cela est possible de faire ses propres cultures fruits et légumes,3,Cultiver soi-même,possible propre culture fruit légume
"Il faut interdire les produits sur-emballés et privilégier les emballages carton, verre, métal, voire les emballages consignés",6,Emballage alimentaire,interdire suremballé privilégier emballage carton verre métal emballage consigner
Il faut privilégier les circuits courts et locaux,7,Circuit court,privilégier circuit courts local
Il faut diminuer la consommation de viande intelligemment parce que les compléments alimentaires ce n'est pas de la nourriture,0,Consommation Viande,diminuer consommation viande intelligemmer complément alimentaire nourriture
"Il faut rendre obligatoires les contrôles qualité indépendants, quand une collectivité délègue sa restauration scolaire à une société privée",8,Alimentation des enfants,rendre obligatoire contrôle qualité indépendant collectivité déléguer restauration scolaire société priver
Il faut arrêter d'importer des aliments que la France produit,1,Agriculture biologique,arrêter importer aliment france
"Il faut interdire tous les pesticides, herbicides, fongicides et engrais chimiques qui polluent la terre et l'eau et nuisent à la santé",1,Agriculture biologique,interdire pesticide herbicide fongicide engrai chimique polluer terre eau nuire santé
"Il faut manger moins sucré, moins salé et moins gras",4,Habitude de consommation alimentaire,manger sucrer saler gras
Il faut proposer un maximum de produits locaux puis nationaux et ceux des producteurs frontaliers qui respectent les normes françaises,7,Circuit court,proposer maximum local national producteur frontalier respecter norme français
Il faut vendre moins chers les produits en fin de validité et donner les périmés,5,Gaspillage alimentaire,vendre fin validité donner périmé
Il faut interdire à la vente les produits qui ont un taux de sel ou de sucre trop élevé.,2,Produits transformés,interdire vente taux sel sucre élevé
Il faut ouvrir plus de jardins partagés et en accès gratuit ,3,Cultiver soi-même,ouvrir jardin partager accès gratuit
"Il faut interdire définitivement toutes substances nocives pour la santé ou l'environnement : huile de palme, pesticides, nitrites...",2,Produits transformés,interdire définitivement substance nocif santé environnement huile palme pesticide nitrite
"Il faut supprimer les emballages en plastique, en priorité pour les produits bio (croissants, pains au chocolat par exemple)",6,Emballage alimentaire,supprimer emballage plastique priorité bio croissant pain chocolat exemple
Il faut interdire le plastique qui se retrouve dans toute la chaîne alimentaire et revenir sur des contenants respectueux de notre santé ,2,Produits transformés,interdire plastique retrouve chaîne alimentaire revenir contenant respectueux santé
Il faut respecter les saisons et ne pas manger n'importe quoi n'importe quand,4,Habitude de consommation alimentaire,respecter saison manger
Il faut informer les consommateurs sur les alternatives à la viande,0,Consommation Viande,informer consommateur alternative viande
Il faut supprimer les taxes sur tous les produits de première nécessité,9,Rémunération des agriculteurs,supprimer taxe nécessité
Il faut diminuer drastiquement sa consommation de produits de la mer,0,Consommation Viande,diminuer drastiquemer consommation mer
"Il faut que nous devenions des ""agrimangeurs"" conscients de la source et de la qualité de ce qui compose notre alimentation",0,Consommation Viande,devenir agrimangeur conscient source qualité compose alimentation
Il faut imposer le nutri-score sur tous les produits.,2,Produits transformés,imposer nutriscore
"Il faut trouver l'équilibre pour que les agriculteurs soient justement rémunérés tout en privilégiant les circuits courts, sans se ruiner",7,Circuit court,trouver équilibre agriculteur justement rémunérer privilégier circuit courts ruiner
"Il faut mettre un frein à l'influence des lobbys, comme celui du sucre ou celui de l'alcool, qui freinent les actions de santé publique.",2,Produits transformés,mettre frein influence lobby sucre alcool freiner action santé public
"Il faut privilégier le végétal à l'animal, réduire les quantités de viandes, en achetant de la meilleur qualité (chez un boucher)",0,Consommation Viande,privilégier végétal animal réduire quantité viande achetant meilleur qualité boucher
Il faut surveiller tout ce qui vient de Chine car il y a trop de plastique dans leur nourriture,6,Emballage alimentaire,surveiller venir chine plastique nourriture
Il faut augmenter la TVA applicable sur les alcools.,9,Rémunération des agriculteurs,augmenter tva applicable alcool
"Il faut un accompagnement de particulier à particulier pour mieux éduquer, orienter, cuisiner, acheter les meilleurs produits",4,Habitude de consommation alimentaire,accompagnement mieux éduquer orienter cuisiner acheter meilleur produire
"Il faut cesser de nourrir les animaux avec des plantes importées parfois OGM. Préférer des variétés locales, diversifiées",0,Consommation Viande,cesser nourrir animal plante importer parfois ogm préférer variété local diversifier
"Il faut distribuer des graines et permettre de cultiver en ville, comme ça se fait en Grande Bretagne",3,Cultiver soi-même,distribuer graine permettre cultiver ville grand bretagne
Il faut rendre accessibles financièrement les fruits et légumes,7,Circuit court,rendre accessible financièrement fruit légume
Il faut mettre des steaks clonés dans les hamburgers de fast food pour arrêter la déforestation,0,Consommation Viande,mettre steak cloner hamburger fast arrêter déforestation
Il faut baisser les taxes sur les fruits et légumes.,9,Rémunération des agriculteurs,baisser taxe fruit légume
Il faut proposer dans les supermarchés des menus faciles à confectionner avec les produits locaux. ,7,Circuit court,proposer supermarché menu facile confectionner local
"Il faut interdire le principe d'équivalence pour les produits ""bio ""extérieurs à l'Europe ",1,Agriculture biologique,interdire principe équivalence bio extérieur europe
"Il faut des légumes tordus, laids. Ce n'est pas grave car toujours tenir compte du look même pour les légumes c'en est assez",5,Gaspillage alimentaire,légume tordre laids grave tenir compte look légume
Il faut faire son potager dans la limite des possibilités ou adhérer aux jardins partagés ,3,Cultiver soi-même,potager limite possibilité adhérer jardin partager
Il faut inciter les gens à cuisiner eux mêmes,4,Habitude de consommation alimentaire,inciter cuisiner
Il faut apprendre à consommer local pour réduire l'emprunte écologique,0,Consommation Viande,apprendre consommer local réduire emprunte écologique
Il faut prioriser les produits issus de l'agriculture raisonnée,7,Circuit court,prioriser issu agriculture raisonner
Il faut favoriser les circuits courts même s'ils ne sont pas toujours bio. Je pense aux œufs de ferme et au beurre de baratte,7,Circuit court,favoriser circuit courts bio pense œuf ferme beurre baratte
Il faut privilégier les produits de saison et arrêter des consommer des produits hors saisons qui viennent du bout du monde,7,Circuit court,privilégier saison arrêter consommer saison venir bout monde
"Il faut mettre des poulaillers, des composteurs et des espaces de jardins dans un maximum d'écoles",3,Cultiver soi-même,mettre poulailler composteur espace jardins maximum école
"Il faut soutenir les filières locales et bio, et garantir aux consommateurs la vérité des labels",7,Circuit court,soutenir filière local bio garantir consommateur vérité label
"Il faut revenir aux jardins chez soi, et utiliser les semences libres",4,Habitude de consommation alimentaire,revenir jardin utiliser semence libre
"Il faut revenir à de la nourriture non industrielle dans les écoles : bio, local et de saison",4,Habitude de consommation alimentaire,revenir nourriture industriel école bio local saison
Il faut arrêter les additifs et colorants néfastes pour la santé en les remplaçant par des produits naturels.,2,Produits transformés,arrêter additif colorant néfaste santé remplacer naturel
Il faut contrôler la terre trop polluée avant de cultiver,1,Agriculture biologique,contrôler terre polluer cultiver
"Il faut privilégier et préserver les terres agricoles, plutôt que les terrains à bâtir",3,Cultiver soi-même,privilégier préserver terre agricole terrain bâtir
"Il faut choisir de bons produits, voire payer plus cher et cuisiner",4,Habitude de consommation alimentaire,choisir payer cuisiner
Il faut que tous ceux qui ont un jardin potager donnent dix pour cent de leur récolte aux Restos du Cœur ou autre association de ce genre ,3,Cultiver soi-même,jardin potager donner récolte al resto cœur association genre
Il faut des producteurs bio et plus de pesticides qui polluent nos nappes phréatiques et rivières,1,Agriculture biologique,producteur bio pesticide polluer nappe phréatique rivière
"Il faut mettre à disposition des rayons ""En vrac """,6,Emballage alimentaire,mettre disposition rayon vrac
Il faut commencer dès le plus jeune âge dans les cantines des écoles et en proposant des actions pédagogiques,8,Alimentation des enfants,commencer jeune âge cantine école proposer action pédagogique
"Il faut proscrire les produits subissant des traitements intensifs, même s'ils viennent de pays voisins qui ne respectent pas nos règles",1,Agriculture biologique,proscrire subir traitement intensif venir pays voisin respecter règle
Il faut poursuivre l'amélioration technique de la production biologique afin d'augmenter les rendements et réduire les coûts,1,Agriculture biologique,poursuivre amélioration technique production biologique augmenter rendement réduire coût
"Il faut une agriculture directe du producteur au consommateur, locale et raisonnée voire naturelle",7,Circuit court,agriculture directe producteur consommateur local raisonner naturel
"Il faut rendre obligatoire sur les produits frais, l'information de traitement du produit ou de l'animal : pesticides, antibiotiques, etc",2,Produits transformés,rendre obligatoire frais information traitement animal pesticide antibiotique
Il faut manger ce qui vous fait envie mais à heure fixe et sans abus et avoir une vie active ,8,Alimentation des enfants,manger envie heure fixe abus vie actif
Il faut réapprendre a cuisiner (simplement avec des produits de nos régions si possible). Fuire les burgers et produits tout prêts.,4,Habitude de consommation alimentaire,réapprendre cuisiner simplement région possible fuire burger prêt
Il faut permettre aux paysans de gagner leur vie,7,Circuit court,permettre paysan gagner vie
Il faut accepter d'avoir moins de choix mais des produits de meilleure qualité dans nos supermarchés ,5,Gaspillage alimentaire,accepter choix meilleur qualité supermarché
Il faut interdire les grosses exploitations d'élevages intensifs qui torturent et maltraitent des animaux,0,Consommation Viande,interdire gros exploitation intensif torturer maltraitent animal
Il faut investir dans le modernisme afin de ne pas faire souffrir l’animal en y mettant les moyens !,0,Consommation Viande,investir modernisme souffrir lanimal mettre moyen
Il faut sensibiliser le public au rôle de l'agriculteur et comprendre son métier pour arrêter les conflits avec les riverains,5,Gaspillage alimentaire,sensibiliser public rôle agriculteur comprendre métier arrêter conflit riverain
"Il faut élaborer un quota de marge distributeur, créer un prix juste pour les producteurs. Ceux-ci pourront produire d'une meilleure manière",7,Circuit court,élaborer quota marge distributeur créer prix producteur ceuxci produire meilleur manière
Il faut favoriser les aliments moins gourmands en eau et en espace. ,6,Emballage alimentaire,favoriser aliment gourmand eau espace
Il faut manger le plus tranquillement possible,7,Circuit court,manger tranquillement possible
Il faut promouvoir les jardins potagers partagés et le compost partagé dans les quartiers,3,Cultiver soi-même,promouvoir jardin potager partager compost partager quartier
"Il faut ne pas diaboliser des catégories d'aliments, mais sensibiliser sur les risques liés aux additifs et aux produits très transformés",9,Rémunération des agriculteurs,diaboliser catégorie aliment sensibiliser risque lier additif al transformer
"Il faut découvrir l'alimentation végétalienne : nutritive, savoureuse, diversifiée, du petit déjeuner au dîner, et adieu surpoids, AVC, etc",4,Habitude de consommation alimentaire,découvrir alimentation végétalien nutritif savoureux diversifier petit déjeuner dîner adieu surpoids avc
Il faut interdire les produits qui engendrent de la déforestation massive ou le déplacement de populations humaines et animales,0,Consommation Viande,interdire engendrer déforestation massif déplacement population humain animal
Il faut des produits transformés plus sains et fabriqués avec des ingrédients naturels et respectueux des recettes traditionnelles,1,Agriculture biologique,transformer sain fabriquer ingrédient naturel respectueux recette traditionnel
"Il faut varier les aliments : éviter ce qui contient sucre et sel, pas trop de viande, beaucoup de poissons, de légumes et de fruits",4,Habitude de consommation alimentaire,varier aliment éviter contenir sucre sel viande poisson légume fruit
Il faut privilégier les circuits court et l'agriculture traditionnelle,7,Circuit court,privilégier circuit court agriculture traditionnel
Il faut pouvoir prendre le temps de se faire à manger. Des recettes simples mais savoureuses avec des produits qualité et légumes de saison.,4,Habitude de consommation alimentaire,prendre temps manger recette simple savoureux qualité légume saison
Il faut proposer aux villes fleuries de cultiver des plantes comestibles et arbres à fruits en complément des plantes ornementales,3,Cultiver soi-même,proposer ville fleuri cultiver plante comestible arbre fruit complément plante ornemental
"Il faut mettre davantage l'accent sur les alternatives végétariennes et végétaliennes à la viande et aux produits laitiers, si possible",4,Habitude de consommation alimentaire,mettre davantage accent alternative végétarienner végétalienne viande laitier possible
"Il faut une réelle transparence sur la provenance, les composants et l'origine des produits que l'on consomme",2,Produits transformés,réel transparence provenance composant origine consomme
"Il faut consommer local, juste et éviter le gaspillage tout simplement !",4,Habitude de consommation alimentaire,consommer local éviter gaspillage simplement
Il faut adopter une charte pour que les élèves respectent les agents cuisiniers qui leurs confectionnent leurs repas,8,Alimentation des enfants,adopter charte élève respecter agent cuisinier confectionnent repas
Il faut multiplier les circuits courts entre producteurs bio et consommateurs,7,Circuit court,multiplier circuit courts producteur bio consommateur
"Il faut imposer le tout bio français dans les structures accueillant des enfants (crèches, cantines scolaires,...)",8,Alimentation des enfants,imposer bio français structure accueillir enfant crécher cantine scolaire
Il faut un retour à la terre sans pesticide,1,Agriculture biologique,retour terre pesticide
"Il faut améliorer la diversité et la qualité de la restauration collective, pour que les plats de légumes ne soient plus boudés",8,Alimentation des enfants,améliorer diversité qualité restauration collectif plat légume bouder
Il faut développer la permaculture,3,Cultiver soi-même,développer permaculture
Il faut montrer à quel point la qualité progresse réellement grâce au progrès technique et suivre les préconisations des agences de sécurité,5,Gaspillage alimentaire,montrer point qualité progresse réellement grâce progrès technique suivre préconisation agence sécurité
Il faut revenir aux  cantines scolaires ou celles des EPHAD et proposer la livraison de repas ou de produits,8,Alimentation des enfants,revenir cantine scolaire ephad proposer livraison repas
"Il faut éduquer les enfants. Leur enseigner les fruits et légumes de saison, leur faire voir comment et où ils poussent",8,Alimentation des enfants,éduquer enfant enseigner fruit légume saison voir pousser
Il faut favoriser l'alimentation et la production biologique en appliquant un taux de TVA réduit pour les producteurs et les consommateurs,9,Rémunération des agriculteurs,favoriser alimentation production biologique appliquer taux tva réduit producteur consommateur
Il faut une meilleure information médicale sur les risques de consommer régulièrement des produits ultra transformés,2,Produits transformés,meilleur information médical risque consommer régulièrement ultra transformer
"Il faut plus de petits commerces avec de bons produits, pas de sous-marques etc. !",7,Circuit court,petit commerce sousmarque
Il faut réapprendre à prendre le temps de consommer autrement mais mieux : privilégier les producteurs locaux et manger de saison,4,Habitude de consommation alimentaire,réapprendre prendre temps consommer autrement mieux privilégier producteur local manger saison
Il faut réapprendre l'agriculture bio,7,Circuit court,réapprendre agriculture bio
"Il faut développer le maraîchage municipal, au moins pour fournir en bio les cantines scolaires et hospitalières",3,Cultiver soi-même,développer maraîchage municipal fournir bio cantine scolaire hospitalier
"Il faut que les tenants, vegans et autres, d'un mode de vie ne cherchent pas à l'imposer aux autres",0,Consommation Viande,vegans mode vie chercher imposer
Il faut changer le mode de production et surtout interdire les polluants chimiques. L’agriculteur après 3 à 4 ans vivra mieux,1,Agriculture biologique,changer mode production interdire polluant chimique lagriculteur an vivre mieux
"Il faut pouvoir cultiver les légumes du jardin sans pesticides, bio naturellement et faire du compost",3,Cultiver soi-même,cultiver légume jardin pesticide bio naturellement compost
Il faut répertorier les circuits courts par département car on ne sait pas toujours comment les trouver.,7,Circuit court,répertorier circuit courts département savoir trouver
Il faut permettre à tous d’accéder à des produits de qualité,7,Circuit court,permettre daccéder qualité
Il faut autoriser les insectes pour l'alimentation humaine,0,Consommation Viande,autoriser insecte alimentation humain
Il faut cuisiner le plus possible maison avec des produits de base de bonne qualité et locaux,4,Habitude de consommation alimentaire,cuisiner possible maison base qualité local
"Il faut interdire les promotions sur les aliments à destination des enfants, et qui sont mal notés au Nutriscore (Soda, confiserie,...)",2,Produits transformés,interdire promotion aliment destination enfant mal noter nutriscore soda confiserie
Il faut cuisiner,4,Habitude de consommation alimentaire,cuisiner
Il faut manger des produits saison et de circuit court,7,Circuit court,manger saison circuit court
"Il faut, comme a Londres, interdire la publicité pour des produits non sains",2,Produits transformés,interdire publicité sain
Il faut que les cantines scolaires redeviennent de qualité et que les goûters soient donnés gratuitement.,8,Alimentation des enfants,cantine scolaire redevenir qualité goûter donner gratuitement
Il faut favoriser les produits locaux,7,Circuit court,favoriser local
"Il faut consommer local et de saison, manger simplement en cuisinant, ou pas !",4,Habitude de consommation alimentaire,consommer local saison manger simplement cuisinant
"Il faut que le bio soit accessible à tous, et les aliments transformés néfastes pour la santé sanctionnés par une lourde TVA",9,Rémunération des agriculteurs,bio accessible aliment transformer néfaste santé sanctionner lourd tva
"Il faut favoriser la production, la vente et la consommation de produits locaux",7,Circuit court,favoriser production vente consommation local
"Il faut apprendre à cuisiner des produits frais, sans trop les transformer",4,Habitude de consommation alimentaire,apprendre cuisiner frais transformer
"Il faut éviter les produits ultra transformés, consommer le plus frais possible",4,Habitude de consommation alimentaire,éviter ultra transformer consommer frais possible
"Il faut définitivement supprimer TOUTE substance controversée, prouvée ou suspectée, pour avoir officiellement la MDD la plus saine au monde",2,Produits transformés,définitivement supprimer substance controversé prouver suspecter officiellement mdd sain monde
"Il faut que toutes les cantines scolaires ne proposent plus que des plats 100% vegan, de saison, bio et local",8,Alimentation des enfants,cantine scolaire proposer plat vegan saison bio local
Il faut prévenir les adolescents sur les risques liés a l'alcool,9,Rémunération des agriculteurs,prévenir adolescent risque lier alcool
Il faut éduquer et informer ,8,Alimentation des enfants,éduquer informer
Il faut plus d'investissement de l'Etat pour contrôler toutes sortes de fraudes alimentaires ,2,Produits transformés,investissement etat contrôler sorte fraude alimentaire
Il faut restaurer la semaine du goût dans les cantines,8,Alimentation des enfants,restaurer semaine goût cantine
Il faut des abattages maison hors des grands abattoirs,0,Consommation Viande,abattage maison grand abattoir
Il faut supprimer la TVA sur les légumes frais,9,Rémunération des agriculteurs,supprimer tva légume frais
"Il faut produire moins de plastiques, nettoyer les endroits jonchés de déchets, plus et mieux recycler",6,Emballage alimentaire,produire plastique nettoyer endroit joncher déchet mieux recycler
"Il faut oublier les iphone à 800 € pour accepter de cuisiner des produits simples, de bonne qualité et au juste prix = arbitrer son budget !",4,Habitude de consommation alimentaire,oublier iphone accepter cuisiner simple qualité prix arbitrer budget
Il faut préférer les aliments biologiques aux aliments transformés,9,Rémunération des agriculteurs,préférer aliment biologique aliment transformer
Il faut faire des lots de viandes (françaises) pour permettre aux gens de pouvoir d'en manger de temps en temps,4,Habitude de consommation alimentaire,lot viande français permettre manger temps temps
Il faut acheter à plusieurs pour pouvoir bénéficier d'un meilleur prix ,7,Circuit court,acheter bénéficier meilleur prix
"Il faut manger beaucoup de poisson, pas de viande, et transformer le bétail en animaux domestiques, car ils ne doivent plus mourir",0,Consommation Viande,manger poisson viande transformer bétail animal domestique devoir mourir
"Il faut arrêter l'agriculture intensive, qui génère des aliments mauvais et sans goût et des animaux nourris aux antibiotiques et OGM",1,Agriculture biologique,arrêter agriculture intensif générer aliment mauvais goût animal nourrir al antibiotique ogm
Il faut revoir nos modes de surconsommation en acceptant de faire des choix et penser collectif pour embarquer toute la société,0,Consommation Viande,revoir mode surconsommation accepter choix penser collectif embarquer société
"Il faut créer une note d'impact écologique (transport, emballage, etc.) comme le nutriscore sur les emballages",9,Rémunération des agriculteurs,créer note impact écologique transport emballage nutriscore emballage
"Il faut  remettre dans les collèges les cours de cuisine, de bricolage, de couture, bref des cours essentiels à la vie au quotidien.",8,Alimentation des enfants,remettre collège cours cuisine bricolage couture bref cours essentiel vie quotidien
Il faut manger de préférence local,7,Circuit court,manger préférence local
Il faut apprendre aux enfants/adultes à jardiner des fruits et légumes en pleine terre ou en pot pour consommer des produits frais de saison,4,Habitude de consommation alimentaire,apprendre enfantsadultes jardiner fruit légume terre pot consommer frais saison
Il faut taxer les produits non bio afin d'indemniser les apiculteurs victimes des pesticides et créer des lieux de vente bio à prix coutant ,7,Circuit court,taxer bio indemniser apiculteur victime pesticide créer lieu vente bio prix couter
Il faut baisser la TVA sur produits alimentaires 2.1%,9,Rémunération des agriculteurs,baisser tva alimentaire
"Il faut favoriser la diversité des espèces cultivées et leur distribution, pour réduire les risques liés aux monocultures",3,Cultiver soi-même,favoriser diversité espèce cultiver distribution réduire risque lier monoculture
Il faut manger plus de légumes !,4,Habitude de consommation alimentaire,manger légume
Il faut imposer l'étude de l'écologie et les dangers des produits chimiques dès le plus jeune âge et tout le long de la scolarité,8,Alimentation des enfants,imposer étude écologie danger chimique jeune âge long scolarité
"Il faut connaître les relations entre l’alimentation et le bien être, éduquer les enfants au savoir bien manger équilibré ensemble",4,Habitude de consommation alimentaire,connaître relation lalimentation éduquer enfant savoir manger équilibré ensemble
"Il faut limiter les emballages superposés, et développer le ""vrac"" où chacun revient acheter avec les sacs déjà fournis en magasin",6,Emballage alimentaire,limiter emballage superposer développer vrac revient acheter sac déjà fournir magasin
"Il faut changer notre mode d'alimentation... ""Nous sommes ce que nous mangeons """,0,Consommation Viande,changer mode alimentation manger
Il faut isoler en rayon les produits AVEC huile palme avec une pancarte l’indiquant en gros. Idem pour chaque cochonnerie nutritionnelle !,2,Produits transformés,isoler rayon huile palme pancarte lindiquant gros idem cochonnerie nutritionnel
Il faut taxer les produits d'importation,1,Agriculture biologique,taxer importation
"Il faut créer un label ""produit de proximité""",7,Circuit court,créer label produire proximité
Il faut que l'origine des produits alimentaires soit affichée ,2,Produits transformés,origine alimentaire afficher
"Il faut développer les cours gratuits pour une cuisine économique, saine, anti-gaspillage et respectueuse de l'environnement pour tous",8,Alimentation des enfants,développer cours gratuit cuisine économique sain antigaspillage respectueuse environnement
"Il faut se reconnecter à nos aliments : comprendre ce qui les compose, d’où ils viennent, leur impact écologique et comment les cuisiner",9,Rémunération des agriculteurs,reconnecter aliment comprendre compose venir impact écologique cuisiner
Il faut développer les circuits courts même en ville...,7,Circuit court,développer circuit court ville
Il faut cuisiner avec des produits frais. Faire ses propres plats,4,Habitude de consommation alimentaire,cuisiner frais propre plat
Il faut apprendre à varier son alimentation : faire bien attention à manger plus de légumes que de protéine animale,4,Habitude de consommation alimentaire,apprendre varier alimentation attention manger légume protéine animal
Il faut arrêter d'étrangler les petites PME et TPE pour que la grande distribution fasse toujours plus de profits,7,Circuit court,arrêter étrangler petit pme tpe grand distribution profit
Il faut favoriser le bio local ou très proche pour éviter le bio qui vient de très loin parfois,7,Circuit court,favoriser bio local éviter bio venir loin parfois
Il faut acheter responsable : les justes quantités,4,Habitude de consommation alimentaire,acheter responsable quantité
Il faut diminuer les marges de la grande distribution,7,Circuit court,diminuer marge grand distribution
Il faut interdire l'usage des antibiotiques humains en élevage et procéder à des contrôles sévères des teneurs résiduelles,1,Agriculture biologique,interdire usage antibiotique humain élevage procéder contrôle sévère teneur résiduel
"Il faut proposer aux cuisines de collectivité (écoles, maisons de retraite, entreprises) de faire de la vente à emporter pour le tout venant",8,Alimentation des enfants,proposer cuisine collectivité école maison retraite entreprendre vente emporter venir
Il faut que les enseignes commerciales privilégient les producteurs locaux,7,Circuit court,enseigne commercial privilégier producteur local
Il faut donner des petit lopins de terre à chaque famille souhaitant développer un petit jardin potager ,3,Cultiver soi-même,donner petit lopin terre famille souhaitant développer petit jardin potager
Il faut supprimer les substances controversées des produits,2,Produits transformés,supprimer substance controverser
Il faut augmenter les visites d'établissements bio,7,Circuit court,augmenter visite établissement bio
Il faut manger local mais en gardant des prix raisonnables ce qui n'est pas toujours le cas,7,Circuit court,manger local garder prix raisonnable cas
Il faut arrêter de torturer des animaux pour nourrir les humains et revenir à de petites exploitations locales qui privilégient le plein air,0,Consommation Viande,arrêter torturer animal nourrir humain revenir petit exploitation local privilégier air
Il faut créer des abattoirs régionaux : transport max. 50 km ,7,Circuit court,créer abattoir régional transport max km
Il faut obliger les éleveurs et distributeurs à préciser les conditions d'élevage et d'abattage des animaux sur les étiquettes ,0,Consommation Viande,obliger éleveur distributeur préciser condition élevage abattage animal étiquette
"Il faut ne pas cacher l'origine animale ou végétale d'un produit. Ex: colorant E120 = insecte, E471 = huile végétale ou animale, gélatine...",2,Produits transformés,cacher origine animal végétal ex colorer e120 insecte e471 huile végétal animal gélatine
Il faut privilégier les légumes sans pesticide  qui sont cultivés près de chez soi,7,Circuit court,privilégier légume pesticide cultiver
Il faut valoriser les petits producteurs locaux,7,Circuit court,valoriser petit producteur local
"Il faut arrêter d'importer des produits de cultures, élevages douteux pour favoriser et mieux rémunérer la production française bio",1,Agriculture biologique,arrêter importer culture élevage douteux favoriser mieux rémunérer production français bio
"Il faut écouter ses sensations alimentaires, manger varié, sans restriction et sans frustration. ",8,Alimentation des enfants,écouter sensation alimentaire manger varier restriction frustration
Il faut augmenter notre consommation de produits végétaux et diminuer la part des produits animaux,0,Consommation Viande,augmenter consommation végétal diminuer part animal
"Il faut offrir d'avantages de produits destinés à la destruction, sensibiliser les consomateurs sur le gaspillage(pub, visite scolaire...) ",8,Alimentation des enfants,offrir avantage destiner destruction sensibiliser consomateur gaspillagepub visite scolaire
Il faut apprendre aux enfants dès l'école primaire à manger équilibré,8,Alimentation des enfants,apprendre enfant école primaire manger équilibré
Il faut réapprendre à cuisiner à la maison en utilisant des produits frais,4,Habitude de consommation alimentaire,réapprendre cuisiner maison utiliser frais
Il faut payer les aliments à leur coût réel pour le producteur.,7,Circuit court,payer aliment coût réel producteur
"Il faut aider les personnes qui ne peuvent pas cuisiner à accéder à une alimentation de bonne qualité, sans pesticides et locale",7,Circuit court,aider cuisiner accéder alimentation qualité pesticide local
Il faut absolument mettre les circuits courts en prioritaire ,7,Circuit court,absolument mettre circuit courts prioritaire
Il faut impérativement sensibiliser les enfants sur le bien manger dès leur plus jeune âge et durant toute leur scolarité,8,Alimentation des enfants,impérativement sensibiliser enfant manger jeune âge scolarité
"Il faut apprendre aux enfants, dès la maternelle, quelles sont les productions locales et leurs qualités nutritives",8,Alimentation des enfants,apprendre enfant maternel production local qualité nutritif
"Il faut supprimer la souffrance animale, pendant l'élevage et à l'abattage. Le mieux supprimer l'abattage, la consommation, pour la planète ",0,Consommation Viande,supprimer souffrance animal élevage abattage mieux supprimer abattage consommation planète
Il faut ne plus acheter de viande. On peut s'en passer et ça pollue...,0,Consommation Viande,acheter viande passer pollue
"Il faut interdire la déforestation, même sous prétexte de besoin en aires agricoles",1,Agriculture biologique,interdire déforestation prétexte besoin aire agricole
Il faut mettre en avant les produits locaux dans les supermarchés,7,Circuit court,mettre local supermarché
"Il faut que nous apprenions à nos enfants, depuis les premières années d'école, les bases d’une alimentation équilibrée",8,Alimentation des enfants,apprendre enfant année école base dun alimentation équilibré
